,avgIncome
1969,4252.0
1970,4437.0
1971,4723.0
1972,5218.0
1973,5864.0
1974,6272.0
1975,6607.0
1976,7333.0
1977,8188.0
1978,9059.0
1979,9802.0
1980,10435.0
1981,11019.0
1982,11532.0
1983,12303.0
1984,13524.0
1985,14522.0
1986,15347.0
1987,15697.0
1988,16768.0
1989,17717.0
1990,18433.0
1991,18379.0
1992,19108.0
1993,19896.0
1994,21057.0
1995,21974.0
1996,22871.0
1997,23822.0
1998,24855.0
1999,26026.0
2000,27896.0
2001,27864.0
2002,27470.0
2003,28401.0
2004,29205.0
2005,29938.0
2006,30589.0
2007,31711.0
2008,32190.0
2009,31289.0
2010,32429.0
2011,34332.0
2012,34948.0
2013,35128.0
2014,36931.0
2015,39281.0
2016,40523.0
2017,41704.0
